,GDPC96,JAPAN_IP,PCECTPI,GS10,GS1,TB3MS,UNRATE,EXUSUK,CPIAUCSL
1957:01,2851.778,8.4143629562,16.449,3.4033333333,3.39,3.0966666667,3.9333333333,,27.7766666667
1957:02,2845.453,9.0973469624,16.553,3.6266666667,3.54,3.14,4.1,,28.0133333333
1957:03,2873.169,9.0427082419,16.687,3.9266666667,3.9633333333,3.3533333333,4.2333333333,,28.2633333333
1957:04,2843.718,8.7968339997,16.773,3.6333333333,3.5866666667,3.31,4.9333333333,,28.4
1958:01,2770,8.6329178382,16.978,3.04,2.16,1.7566666667,6.3,,28.7366666667
1958:02,2788.278,8.4143629562,17.009,2.9233333333,1.35,0.9566666667,7.3666666667,,28.93
1958:03,2852.741,8.6602371985,17.022,3.5,2.3866666667,1.68,7.3333333333,,28.9133333333
1958:04,2919.47,8.9607501612,17.018,3.8,3.1933333333,2.69,6.3666666667,,28.9433333333
1959:01,2973.782,9.4251792854,17.137,3.99,3.5033333333,2.7733333333,5.8333333333,2.8095066667,28.9933333333
1959:02,3046.096,10.0808439313,17.204,4.2566666667,3.9166666667,3,5.1,2.8145366667,29.0433333333
1959:03,3040.235,10.6818698568,17.307,4.5033333333,4.6033333333,3.54,5.2666666667,2.8082833333,29.1933333333
1959:04,3052.194,11.4194925835,17.401,4.5833333333,4.9166666667,4.23,5.6,2.8024633333,29.37
1960:01,3120.195,12.1844346704,17.424,4.4866666667,4.57,3.8733333333,5.1333333333,2.80297,29.3966666667
1960:02,3108.361,12.6761831549,17.515,4.26,3.87,2.9933333333,5.2333333333,2.8060633333,29.5733333333
1960:03,3116.104,13.2225703598,17.582,3.8333333333,3.0733333333,2.36,5.5333333333,2.8104566667,29.59
1960:04,3078.384,13.8509156455,17.661,3.8866666667,2.9933333333,2.3066666667,6.2666666667,2.8108233333,29.78
1961:01,3099.314,14.6158577324,17.694,3.7866666667,2.8733333333,2.35,6.8,2.8012666667,29.84
1961:02,3156.922,15.1895642976,17.692,3.79,2.9366666667,2.3033333333,7,2.7939666667,29.83
1961:03,3209.561,15.8725483038,17.757,3.98,3.0133333333,2.3033333333,6.7666666667,2.8008333333,29.9466666667
1961:04,3274.61,16.4189355088,17.777,3.9733333333,3.1,2.46,6.2,2.8133,29.99
1962:01,3333.591,16.9653227137,17.855,4.0166666667,3.2066666667,2.7233333333,5.6333333333,2.8136333333,30.1066666667
1962:02,3369.51,16.9653227137,17.918,3.8733333333,3.0166666667,2.7166666667,5.5333333333,2.8114666667,30.22
1962:03,3401.609,16.6921291112,17.964,3.99,3.1833333333,2.84,5.5666666667,2.8037666667,30.3066666667
1962:04,3414.802,16.5828516703,18.018,3.9033333333,2.9966666667,2.8133333333,5.5333333333,2.8021666667,30.38
1963:01,3452.806,17.2385163162,18.069,3.8933333333,3.0266666667,2.9066666667,5.7666666667,2.8029333333,30.4766666667
1963:02,3497.818,18.2220132851,18.095,3.9633333333,3.1433333333,2.94,5.7333333333,2.8001666667,30.5333333333
1963:03,3566.096,19.1781908938,18.181,4.0333333333,3.5266666667,3.2933333333,5.5,2.7993666667,30.72
1963:04,3591.546,20.1616878627,18.248,4.12,3.73,3.4966666667,5.5666666667,2.7973666667,30.8033333333
1964:01,3669.226,20.8173525086,18.336,4.18,3.8266666667,3.53,5.4666666667,2.7977666667,30.93
1964:02,3712.856,21.4456977943,18.378,4.2,3.86,3.4766666667,5.2,2.7975333333,30.98
1964:03,3763.277,22.0194043595,18.44,4.1933333333,3.7666666667,3.4966666667,5,2.7865666667,31.05
1964:04,3776.627,22.401875403,18.502,4.1733333333,3.93,3.6833333333,4.9666666667,2.7863,31.1933333333
1965:01,3869.782,22.401875403,18.562,4.2033333333,4.01,3.89,4.9,2.7929333333,31.29
1965:02,3922.689,22.2106398812,18.655,4.2066666667,4.02,3.8733333333,4.6666666667,2.7952,31.49
1965:03,4002.358,22.4565141235,18.724,4.2466666667,4.0833333333,3.8666666667,4.3666666667,2.7928333333,31.5833333333
1965:04,4096.741,22.8116658067,18.781,4.4733333333,4.4633333333,4.1666666667,4.1,2.8029666667,31.75
1966:01,4197.921,23.5492885334,18.927,4.77,4.93,4.61,3.8666666667,2.8005333333,32.0466666667
1966:02,4215.116,24.8059791048,19.083,4.78,4.9333333333,4.5866666667,3.8333333333,2.7918333333,32.3366666667
1966:03,4245.17,25.9807115954,19.229,5.14,5.51,5.0433333333,3.7666666667,2.7889666667,32.6166666667
1966:04,4281.583,27.4559570488,19.379,5.0033333333,5.44,5.21,3.7,2.7909333333,32.8833333333
1967:01,4320.947,28.2755378562,19.435,4.5833333333,4.6033333333,4.5133333333,3.8333333333,2.7938,32.9666666667
1967:02,4324.696,29.5322284276,19.528,4.82,4.2466666667,3.66,3.8333333333,2.7957666667,33.1666666667
1967:03,4362.001,31.0347932412,19.708,5.2466666667,5.1266666667,4.3,3.8,2.7854333333,33.5
1967:04,4397.108,32.6739548561,19.877,5.6433333333,5.5633333333,4.7533333333,3.9,2.6171,33.8666666667
1968:01,4486.382,33.4115775827,20.087,5.61,5.4733333333,5.05,3.7333333333,2.406,34.2
1968:02,4562.157,34.4497132721,20.291,5.7433333333,5.9433333333,5.52,3.5666666667,2.3918666667,34.5333333333
1968:03,4594.968,35.3785715206,20.501,5.46,5.51,5.1966666667,3.5333333333,2.3895,35
1968:04,4615.388,37.0723718559,20.729,5.77,5.8366666667,5.5866666667,3.4,2.3865666667,35.4333333333
1969:01,4687.098,38.1924656261,20.933,6.1766666667,6.3633333333,6.0933333333,3.4,2.3900333333,35.8666666667
1969:02,4702.124,39.9955434024,21.201,6.3533333333,6.5733333333,6.1966666667,3.4333333333,2.3897,36.4333333333
1969:03,4731.549,41.170275893,21.461,6.8566666667,7.6533333333,7.0233333333,3.5666666667,2.3865666667,36.9333333333
1969:04,4710.954,43.3011859923,21.71,7.2966666667,7.9,7.3533333333,3.5666666667,2.3946,37.5
1970:01,4702.809,44.8583895265,21.961,7.3666666667,7.5533333333,7.21,4.1666666667,2.4036333333,38.1
1970:02,4711.143,46.2516768991,22.205,7.7133333333,7.4533333333,6.6766666667,4.7666666667,2.4025,38.6333333333
1970:03,4752.805,46.8253834643,22.421,7.46,6.9366666667,6.3266666667,5.1666666667,2.3878666667,39.0333333333
1970:04,4703.912,47.0439383463,22.712,6.8533333333,5.6466666667,5.3533333333,5.8333333333,2.3894333333,39.6
1971:01,4829.88,47.45372875,22.927,6.0166666667,4.05,3.84,5.9333333333,2.4141,39.9333333333
1971:02,4857.374,46.9619802655,23.188,6.2466666667,4.9933333333,4.25,5.9,2.4184666667,40.3
1971:03,4895.258,47.6996029922,23.416,6.4833333333,5.75,5.01,6.0333333333,2.4408333333,40.7
1971:04,4909.529,47.8088804332,23.562,5.89,4.7266666667,4.23,5.9333333333,2.5031666667,41
1972:01,4997.015,48.7650580418,23.811,6.0333333333,4.4066666667,3.4366666667,5.7666666667,2.5974333333,41.3333333333
1972:02,5112.722,49.8305130915,23.949,6.1433333333,4.8433333333,3.77,5.7,2.5972333333,41.6
1972:03,5159.837,51.2238004641,24.16,6.29,5.1533333333,4.22,5.5666666667,2.4453,41.9333333333
1972:04,5245.523,53.7098622467,24.358,6.3733333333,5.4366666667,4.8633333333,5.3666666667,2.3637333333,42.3666666667
1973:01,5374.665,56.9335467559,24.652,6.6033333333,6.31,5.7,4.9333333333,2.4186333333,43.0333333333
1973:02,5435.604,58.1082792465,25.126,6.8066666667,7.0166666667,6.6033333333,4.9333333333,2.5301666667,43.9333333333
1973:03,5406.065,58.9005406937,25.583,7.2066666667,8.5066666667,8.3233333333,4.8,2.4771666667,44.8
1973:04,5456.489,60.1299119048,26.108,6.7533333333,7.4133333333,7.5,4.7666666667,2.3778666667,45.9333333333
1974:01,5411.162,60.0752731843,26.883,7.0533333333,7.3533333333,7.6166666667,5.1333333333,2.2798333333,47.3
1974:02,5425.382,57.4526146006,27.645,7.5433333333,8.69,8.1533333333,5.2,2.3975,48.5666666667
1974:03,5372.849,55.1577883398,28.391,7.9633333333,9.01,8.19,5.6333333333,2.3505666667,49.9333333333
1974:04,5351.356,52.425852315,29.114,7.67,7.6733333333,7.36,6.6,2.3292,51.4666666667
1975:01,5286.705,48.9562935636,29.664,7.54,6.3066666667,5.75,8.2666666667,2.3920333333,52.5666666667
1975:02,5327.437,49.66659693,30.029,8.05,6.5266666667,5.3933333333,8.8666666667,2.3238333333,53.2
1975:03,5415.478,50.6227745387,30.592,8.2966666667,7.52,6.33,8.4666666667,2.1274,54.2666666667
1975:04,5488.489,50.8686487809,31.105,8.0633333333,6.68,5.6266666667,8.3,2.0424333333,55.2666666667
1976:01,5612.427,53.3547105634,31.448,7.7533333333,5.9766666667,4.9166666667,7.7333333333,1.9992,55.9
1976:02,5654.837,55.294385141,31.711,7.7733333333,6.28,5.1566666667,7.5666666667,1.8060666667,56.4
1976:03,5683.589,56.4691176317,32.191,7.73,6.0133333333,5.15,7.7333333333,1.765,57.3
1976:04,5726.249,57.0974629173,32.699,7.19,5.2266666667,4.6733333333,7.7666666667,1.6514,58.1333333333
1977:01,5792.875,57.7531275633,33.285,7.3533333333,5.42,4.63,7.5,1.7133666667,59.2
1977:02,5906.568,57.6984888428,33.855,7.37,5.6933333333,4.84,7.1333333333,1.7188666667,60.2333333333
1977:03,6011.064,57.6165307621,34.366,7.3566666667,6.28,5.4966666667,6.9,1.7351333333,61.0666666667
1977:04,6011.695,58.4361115695,34.858,7.5966666667,6.96,6.11,6.6666666667,1.8145,61.9666666667
1978:01,6032.613,59.8293989421,35.439,8.01,7.31,6.3933333333,6.3333333333,1.9268,63.0333333333
1978:02,6267.163,60.7855765508,36.169,8.32,7.7866666667,6.4766666667,6,1.835,64.4666666667
1978:03,6328.452,62.1788639234,36.806,8.49,8.4466666667,7.3133333333,6.0333333333,1.9316666667,65.9666666667
1978:04,6413.33,63.2716383333,37.501,8.82,9.8166666667,8.57,5.9,1.9848,67.5
1979:01,6426.077,63.8180255382,38.204,9.1066666667,10.3,9.3833333333,5.8666666667,2.0157666667,69.2
1979:02,6433.86,65.4298677928,39.245,9.1133333333,9.9366666667,9.3766666667,5.7,2.0813666667,71.4
1979:03,6480.063,66.7958358052,40.216,9.1033333333,10.1533333333,9.6733333333,5.8666666667,2.2310666667,73.7
1979:04,6496.843,68.1618038176,41.187,10.4466666667,12.27,11.8433333333,5.9666666667,2.1599,76.0333333333
1980:01,6517.864,69.8282847927,42.419,11.9866666667,13.9333333333,13.3533333333,6.3,2.2525666667,79.0333333333
1980:02,6385.668,70.0741590349,43.455,10.4766666667,10.2833333333,9.6166666667,7.3333333333,2.2824333333,81.7
1980:03,6375.988,68.3257199791,44.469,10.9533333333,10.1366666667,9.1533333333,7.6666666667,2.3816,83.2333333333
1980:04,6494.126,68.4896361406,45.567,12.4233333333,13.84,13.6133333333,7.4,2.3855,85.5666666667
1981:01,6628.634,68.8447878238,46.749,12.96,14.12,14.39,7.4333333333,2.3096333333,87.9333333333
1981:02,6580.199,68.7901491033,47.529,13.75,15.1266666667,14.9066666667,7.4,2.0791666667,89.7666666667
1981:03,6655.692,70.3746719976,48.308,14.8466666667,16.32,15.0533333333,7.4,1.8362,92.2666666667
1981:04,6578.035,71.3854883268,49.043,14.0866666667,13.5466666667,11.75,8.2333333333,1.8821666667,93.7666666667
1982:01,6468.003,70.7298236809,49.66,14.2933333333,14.3333333333,12.8133333333,8.8333333333,1.8461,94.6
1982:02,6503.252,69.9375622337,50.134,13.93,13.7966666667,12.42,9.4333333333,1.7795666667,95.9666666667
1982:03,6479.838,70.3200332772,50.924,13.1166666667,11.84,9.3166666667,9.9,1.7241333333,97.6333333333
1982:04,6486.159,69.418494389,51.49,10.6666666667,9.13,7.9066666667,10.6666666667,1.6481,97.9333333333
1983:01,6571.112,70.2380751964,51.936,10.5633333333,8.86,8.1066666667,10.3666666667,1.5328333333,98
1983:02,6721.061,71.2762108858,52.415,10.5433333333,9.18,8.3966666667,10.1333333333,1.5521,99.1333333333
1983:03,6852.66,73.0519693019,53.105,11.6266666667,10.2966666667,9.14,9.3666666667,1.5095,100.1
1983:04,6993.986,74.7457696373,53.458,11.6866666667,9.9533333333,8.8,8.5333333333,1.4691,101.1
1984:01,7132.946,77.25915078,54.033,11.9433333333,10.1766666667,9.17,7.8666666667,1.435,102.5333333333
1984:02,7258.23,78.2972864694,54.557,13.2,11.5466666667,9.7966666667,7.4333333333,1.3958,103.5
1984:03,7329.642,79.4720189601,54.98,12.8666666667,11.81,10.32,7.4333333333,1.2965,104.4
1984:04,7388.101,81.2204580159,55.322,11.7433333333,10.0166666667,8.8033333333,7.3,1.2149666667,105.3
1985:01,7461.538,81.3297354569,55.984,11.5833333333,9.39,8.1833333333,7.2333333333,1.1151666667,106.2666666667
1985:02,7529.86,82.2312743451,56.456,10.8133333333,8.4666666667,7.46,7.3,1.2556,107.2333333333
1985:03,7647.016,82.1493162643,56.905,10.3366666667,7.9933333333,7.1066666667,7.2,1.3763333333,107.9
1985:04,7704.382,82.1766356246,57.296,9.76,7.8533333333,7.1666666667,7.0333333333,1.4352666667,109
1986:01,7775.761,81.9307613824,57.706,8.5566666667,7.4566666667,6.8966666667,7.0333333333,1.4405,109.5666666667
1986:02,7811.462,81.9580807426,57.636,7.6033333333,6.6066666667,6.14,7.1666666667,1.5093666667,109.0333333333
1986:03,7890.093,81.7122065004,57.929,7.3066666667,5.99,5.5233333333,6.9666666667,1.4876666667,109.7
1986:04,7930.97,81.6575677799,58.274,7.2633333333,5.7966666667,5.3533333333,6.8333333333,1.4298333333,110.4666666667
1987:01,7986.448,82.4225098668,58.82,7.1933333333,5.9233333333,5.5366666667,6.6,1.5419,111.8
1987:02,8076.102,82.5864260283,59.379,8.3433333333,6.7666666667,5.6566666667,6.2666666667,1.6422333333,113.0666666667
1987:03,8149.352,85.3456814133,59.936,8.8766666667,7.1266666667,6.0433333333,6,1.6177333333,114.2666666667
1987:04,8283.848,88.1595755188,60.462,9.1233333333,7.24,5.8633333333,5.8333333333,1.7554,115.3333333333
1988:01,8330.445,90.5276709854,60.933,8.4166666667,6.78,5.7233333333,5.7,1.7973666667,116.2333333333
1988:02,8440.506,91.9107783631,61.606,8.91,7.3,6.21,5.4666666667,1.8415,117.5666666667
1988:03,8489.204,92.9975055885,62.365,9.1,8.0033333333,7.01,5.4666666667,1.6952,119
1988:04,8601.634,94.4135440942,62.989,8.9566666667,8.5266666667,7.7266666667,5.3333333333,1.7910333333,120.3
1989:01,8688.396,97.0809654656,63.695,9.2066666667,9.29,8.54,5.2,1.7468333333,121.6666666667
1989:02,8756.711,98.0688993068,64.542,8.7733333333,8.9266666667,8.41,5.2333333333,1.6281666667,123.6333333333
1989:03,8822.076,97.8383814105,64.909,8.1066666667,8.0966666667,7.8433333333,5.2333333333,1.5976666667,124.6
1989:04,8840.727,98.266486075,65.416,7.9066666667,7.8266666667,7.6533333333,5.3666666667,1.5855,125.8666666667
1990:01,8937.52,99.2214887882,66.349,8.4233333333,8.1266666667,7.76,5.3,1.6572666667,128.0333333333
1990:02,8972.072,101.3290809829,66.945,8.6766666667,8.2733333333,7.7466666667,5.3333333333,1.6749666667,129.3
1990:03,8974.327,102.9427062569,67.786,8.7033333333,7.8266666667,7.4766666667,5.7,1.8635,131.5333333333
1990:04,8897.835,104.2928825066,68.675,8.3966666667,7.3033333333,6.99,6.1333333333,1.9439,133.7666666667
1991:01,8856.143,104.7539182992,69.016,8.0166666667,6.4366666667,6.0233333333,6.6,1.9067,134.7666666667
1991:02,8924.858,104.3258136346,69.383,8.13,6.2433333333,5.56,6.8333333333,1.7077333333,135.5666666667
1991:03,8967.695,103.831846714,69.853,7.94,5.8866666667,5.3766666667,6.8666666667,1.6873,136.6
1991:04,9006.835,102.6463261045,70.354,7.3466666667,4.8666666667,4.54,7.1,1.7766333333,137.7333333333
1992:01,9113.23,100.5716650379,70.787,7.3033333333,4.3566666667,3.8933333333,7.3666666667,1.7702,138.6666666667
1992:02,9213.695,98.1347615629,71.257,7.3766666667,4.22,3.68,7.6,1.8070666667,139.7333333333
1992:03,9303.254,97.8054502825,71.711,6.6166666667,3.4166666667,3.0833333333,7.6333333333,1.9025333333,140.8
1992:04,9396.464,95.3026845513,72.216,6.7433333333,3.5633333333,3.07,7.3666666667,1.5769,142.0333333333
1993:01,9413.955,95.6649269598,72.645,6.28,3.4066666667,2.96,7.1333333333,1.4779,143.0666666667
1993:02,9469.926,95.5990647037,73.135,5.99,3.38,2.9666666667,7.0666666667,1.5335333333,144.1
1993:03,9516.093,94.248888454,73.454,5.6166666667,3.4233333333,3.0033333333,6.8,1.5039,144.7666666667
1993:04,9643.12,92.9975055885,73.876,5.6066666667,3.5266666667,3.06,6.6333333333,1.4914666667,145.9666666667
1994:01,9737.638,92.9316433324,74.138,6.0666666667,3.91,3.2433333333,6.5666666667,1.4878,146.7
1994:02,9870.711,95.072166655,74.551,7.0833333333,5.1333333333,3.9866666667,6.2,1.5042333333,147.5333333333
1994:03,9928.868,97.0151032095,75.082,7.3333333333,5.6,4.4766666667,6,1.5516666667,148.9
1994:04,10041.591,98.233554947,75.436,7.8366666667,6.5966666667,5.28,5.6333333333,1.5847666667,149.7666666667
1995:01,10075.907,98.1676926909,75.797,7.4833333333,6.7266666667,5.7366666667,5.4666666667,1.5822666667,150.8666666667
1995:02,10111.126,99.3202821724,76.224,6.62,5.97,5.5966666667,5.6666666667,1.5965,152.1
1995:03,10197.669,97.7725191544,76.53,6.3233333333,5.6533333333,5.3666666667,5.6666666667,1.5736666667,152.8666666667
1995:04,10270.057,99.6495934528,76.867,5.8933333333,5.4433333333,5.26,5.5666666667,1.5603,153.7
1996:01,10337.435,99.1885576602,77.298,5.91,5.1233333333,4.93,5.5333333333,1.5306333333,155.0666666667
1996:02,10517.932,99.847180221,77.809,6.72,5.6633333333,5.02,5.5,1.5242666667,156.4
1996:03,10615.223,101.1973564707,78.141,6.78,5.7833333333,5.0966666667,5.2666666667,1.5540666667,157.3
1996:04,10727.36,103.2061552812,78.67,6.3433333333,5.48,4.9766666667,5.3333333333,1.6375,158.6666666667
1997:01,10809.133,105.7418521404,79.016,6.5633333333,5.6466666667,5.06,5.2333333333,1.6312333333,159.6333333333
1997:02,10972.224,105.1820229637,79.211,6.6966666667,5.85,5.0466666667,5,1.6354666667,160
1997:03,11111.951,105.5442653722,79.414,6.2433333333,5.54,5.0466666667,4.8666666667,1.6247333333,160.8
1997:04,11198.207,103.041499641,79.661,5.9066666667,5.4833333333,5.09,4.6666666667,1.6605333333,161.6666666667
1998:01,11308.995,100.9340961551,79.656,5.5866666667,5.3133333333,5.0533333333,4.6333333333,1.6459,162
1998:02,11418.673,97.8964078988,79.798,5.5966666667,5.41,4.9766666667,4.4,1.6536333333,162.5333333333
1998:03,11568.054,96.6882364332,80.04,5.2033333333,5.0933333333,4.8233333333,4.5333333333,1.6534,163.3666666667
1998:04,11757.945,96.0323719233,80.244,4.67,4.39,4.2533333333,4.4333333333,1.6754333333,164.1333333333
1999:01,11867.763,97.4476584972,80.453,4.9833333333,4.6633333333,4.4066666667,4.3,1.6329,164.7333333333
1999:02,11967.734,97.4131393125,80.883,5.54,4.88,4.4533333333,4.2666666667,1.6064333333,165.9666666667
1999:03,12120.094,98.8284258865,81.309,5.8833333333,5.16,4.65,4.2333333333,1.6018666667,167.2
1999:04,12329.827,100.174674091,81.792,6.14,5.6066666667,5.0433333333,4.0666666667,1.6303,168.4333333333
2000:01,12365.164,100.7615002315,82.475,6.48,6.1866666667,5.52,4.0333333333,1.6067666667,170.1
2000:02,12598.723,103.2814007169,82.85,6.1766666667,6.2166666667,5.7133333333,3.9333333333,1.5335,171.4333333333
2000:03,12614.806,104.0063035962,83.364,5.8933333333,6.13,6.0166666667,4,1.4767,173
2000:04,12681.965,105.2144750619,83.824,5.5666666667,5.9,6.0166666667,3.9,1.4464333333,174.2333333333
2001:01,12645.65,102.1422676207,84.383,5.05,4.5966666667,4.8166666667,4.2333333333,1.4581666667,175.9
2001:02,12712.787,98.897464256,84.785,5.27,3.78,3.66,4.4,1.4211,177.1333333333
2001:03,12674.114,94.7206429035,84.851,4.98,3.3033333333,3.17,4.8333333333,1.4386,177.6333333333
2001:04,12705.159,92.4423767112,84.908,4.77,2.2433333333,1.9066666667,5.5,1.4423333333,177.5
2002:01,12824.603,92.9601644821,85.064,5.0766666667,2.32,1.7233333333,5.7,1.4259666667,178.0666666667
2002:02,12894.676,95.6181417065,85.721,5.1,2.3433333333,1.7166666667,5.8333333333,1.4621333333,179.4666666667
2002:03,12956.671,97.3095817583,86.155,4.26,1.8133333333,1.6433333333,5.7333333333,1.5498666667,180.4333333333
2002:04,12962.92,97.7583311598,86.548,4.0066666667,1.53,1.3333333333,5.8666666667,1.5716333333,181.5
2003:01,13028.597,98.9657273282,87.16,3.92,1.3,1.1566666667,5.8666666667,1.6026333333,183.3666666667
2003:02,13151.812,98.5068990632,87.237,3.62,1.1533333333,1.04,6.1333333333,1.6190666667,183.0666666667
2003:03,13374.049,99.1421997379,87.77,4.2333333333,1.2233333333,0.93,6.1333333333,1.6105,184.4333333333
2003:04,13525.715,102.0010527741,88.124,4.2866666667,1.3,0.9166666667,5.8333333333,1.7068333333,185.1333333333
2004:01,13606.565,103.2716541235,88.797,4.02,1.2233333333,0.9166666667,5.7,1.8396333333,186.7
2004:02,13710.681,104.7893168465,89.421,4.6,1.7766666667,1.0766666667,5.6,1.8056666667,188.1666666667
2004:03,13831.044,105.6363844128,89.942,4.3033333333,2.08,1.4866666667,5.4333333333,1.8192666667,189.3666666667
2004:04,13947.662,103.7304823886,90.652,4.1733333333,2.4666666667,2.0066666667,5.4333333333,1.8656666667,191.4
2005:01,14100.244,105.7775623405,91.123,4.2966666667,3.0633333333,2.5366666667,5.3,1.8903666667,192.3666666667
2005:02,14177.163,105.9893292321,91.727,4.16,3.3366666667,2.8633333333,5.1,1.8565666667,193.6666666667
2005:03,14292.871,105.6363844128,92.732,4.2133333333,3.7866666667,3.36,4.9666666667,1.7838333333,196.6
2005:04,14371.95,106.8011023164,93.458,4.49,4.2866666667,3.8266666667,4.9666666667,1.7486,198.4333333333
2006:01,14546.356,108.2128815936,93.89,4.57,4.6333333333,4.3933333333,4.7333333333,1.7536,199.4666666667
2006:02,14591.608,110.0129001719,94.612,5.07,5.02,4.7033333333,4.6333333333,1.8267333333,201.2666666667
2006:03,14604.376,111.0364401479,95.287,4.8966666667,5.09,4.9066666667,4.6333333333,1.8741,203.1666666667
2006:04,14718.445,112.2364525335,95.125,4.63,4.9866666667,4.9033333333,4.4333333333,1.9173,202.3333333333
2007:01,14728.052,111.9188021961,96.011,4.68,5.01,4.9833333333,4.5,1.955,204.317
2007:02,14841.529,112.6599863166,96.772,4.8466666667,4.9333333333,4.7366666667,4.5,1.9862666667,206.631
2007:03,14941.511,114.5305938588,97.32,4.73,4.5233333333,4.3033333333,4.6666666667,2.0216333333,207.939
2007:04,14996.054,115.2717779793,98.294,4.26,3.62,3.39,4.8,2.0437,210.4896666667
2008:01,14895.353,115.8903424715,99.136,3.6633333333,2.1,2.0433333333,5,1.9787666667,212.7696666667
2008:02,14969.174,114.0571619032,100.172,3.8866666667,2.0733333333,1.6266666667,5.3333333333,1.971,215.5376666667
2008:03,14895.057,109.9241729856,101.195,3.8633333333,2.1233333333,1.4933333333,6,1.8908666667,218.861
2008:04,14574.644,99.7916840263,99.748,3.2533333333,0.9933333333,0.2966666667,6.8666666667,1.5681,213.8486666667
2009:01,14372.08,80.1933172236,99.184,2.7366666667,0.5666666667,0.2133333333,8.2666666667,1.4351333333,212.4326666667
2009:02,14356.903,84.1596533622,99.627,3.3133333333,0.52,0.1733333333,9.3,1.5499666667,213.482
2009:03,14402.546,88.8592617282,100.252,3.5166666667,0.4466666667,0.1566666667,9.6333333333,1.6411,215.3473333333
2009:04,14540.242,95.1254062161,100.938,3.46,0.35,0.0566666667,9.9333333333,1.6345666667,217.004
2010:01,14597.663,98.7917673527,101.282,3.7166666667,0.3666666667,0.1066666667,9.8,1.5611333333,217.4046666667
2010:02,14738.019,99.8250145821,101.398,3.49,0.38,0.1466666667,9.6333333333,1.4923,217.28
2010:03,14839.32,101.258228481,101.698,2.7866666667,0.27,0.1566666667,9.5,1.5518666667,218.0096666667
2010:04,14942.4,100.624947921,102.239,2.8633333333,0.2566666667,0.1366666667,9.5666666667,1.5807666667,219.645
2011:01,14893.954,96.9585867844,102.996,3.46,0.2733333333,0.1266666667,9.0333333333,1.6021666667,222.027
2011:02,15011.251,93.0255812016,103.938,3.21,0.2066666667,0.0466666667,9.0666666667,1.631,224.5653333333
2011:03,15062.144,99.1917340222,104.529,2.4266666667,0.1333333333,0.0233333333,9,1.6095,226.178
2011:04,15242.142,100.2249812516,104.88,2.0466666667,0.1133333333,0.0133333333,8.6333333333,1.5720333333,226.9713333333
2012:01,15381.564,100.9915840347,105.471,2.0366666667,0.1566666667,0.0666666667,8.2333333333,1.5717333333,228.2693333333
2012:02,15427.67,98.8584284643,105.75,1.8233333333,0.1866666667,0.0866666667,8.2,1.5826666667,228.841
2012:03,15533.985,95.7920173319,106.193,1.6433333333,0.1833333333,0.1033333333,8.0333333333,1.5813666667,230.0296666667
2012:04,15539.628,94.2588117657,106.622,1.7066666667,0.1733333333,0.0866666667,7.8333333333,1.6064333333,231.277
2013:01,15583.948,94.7254395467,106.909,1.95,0.1533333333,0.0866666667,7.7,1.5506333333,232.1026666667
2013:02,15679.677,95.9920006666,106.878,1.9966666667,0.1266666667,0.05,7.5,1.5367,232.0866666667
2013:03,15839.347,97.5585367886,107.387,2.71,0.1233333333,0.0333333333,7.2333333333,1.5523,233.597
2013:04,15965.569,,107.573,2.7466666667,0.1233333333,0.0633333333,6.9666666667,1.6193666667,234.0923333333
